frame_offset,time_offset,inference_id,timestamp,image_width,image_height,x,y,width,height,confidence,class,class_id,detection_id
0,0.0,d1f859ea-1290-4754-8042-bc295d00e7cc,0.08943201199872419,640,352,85.0,183.0,166.0,90.0,0.7674468159675598,Accident,0,631fd7f8-947b-49ff-a2a2-a2e8b9d0a128
0,0.0,d1f859ea-1290-4754-8042-bc295d00e7cc,0.08943201199872419,640,352,622.5,179.5,35.0,77.0,0.46654295921325684,Accident,0,abc48721-4ea7-4227-9191-7f6b6effcc57
5,0.2,d1f859ea-1290-4754-8042-bc295d00e7cc,0.08946334000211209,640,352,47.5,186.0,95.0,100.0,0.8975765705108643,Accident,0,6d9e7bb8-bb10-4a78-9d91-1acab8ae9ca9
5,0.2,d1f859ea-1290-4754-8042-bc295d00e7cc,0.08946334000211209,640,352,622.5,178.0,35.0,80.0,0.5652878284454346,Accident,0,99e387bd-48e9-4d45-be1c-5e1a48bd3d6a
20,0.8,b90cb190-ea95-4aa8-9d1c-cdaf26c18f8b,0.09225926801445894,640,352,569.0,155.5,98.0,61.0,0.8300442099571228,Accident,0,3a2c67de-9e44-4bc6-8764-b59776244cd6
25,1.0,b90cb190-ea95-4aa8-9d1c-cdaf26c18f8b,0.09228968000388704,640,352,535.0,157.5,118.0,69.0,0.8994125723838806,Accident,0,ea5ad5a3-7009-4bbf-8dd6-30d1be631630
30,1.2,b90cb190-ea95-4aa8-9d1c-cdaf26c18f8b,0.09229648200562224,640,352,496.5,156.0,165.0,92.0,0.9510354399681091,Accident,0,1a9375ac-fd5e-4a31-9e3a-509894daf18b
35,1.4,b90cb190-ea95-4aa8-9d1c-cdaf26c18f8b,0.09230252099223435,640,352,503.0,168.5,128.0,101.0,0.9260138869285583,Accident,0,32db2e26-e651-45fc-b877-1bfa6b4a6b0a
35,1.4,b90cb190-ea95-4aa8-9d1c-cdaf26c18f8b,0.09230252099223435,640,352,362.0,178.0,58.0,58.0,0.798072874546051,Accident,0,97df2fdd-62c8-47e5-9fc7-19cc66205a89
40,1.6,467652a7-7777-44f3-b321-ab32daecf996,0.0935162790119648,640,352,473.0,179.5,170.0,117.0,0.9394011497497559,Accident,0,294d41c7-153f-4f51-8e7f-65dc54de8f7e
40,1.6,467652a7-7777-44f3-b321-ab32daecf996,0.0935162790119648,640,352,283.5,184.5,91.0,51.0,0.8861809968948364,Accident,0,fa78be52-f3ce-4110-a41c-c8b46862b7b2
45,1.8,467652a7-7777-44f3-b321-ab32daecf996,0.09354595001786947,640,352,443.0,211.5,212.0,117.0,0.9427666068077087,Accident,0,d5b0bb80-d707-4015-863c-4524186c9b71
45,1.8,467652a7-7777-44f3-b321-ab32daecf996,0.09354595001786947,640,352,206.0,207.0,96.0,60.0,0.8496859669685364,Accident,0,3944c829-0402-407f-9e02-015273201f0c
50,2.0,467652a7-7777-44f3-b321-ab32daecf996,0.09355286200297996,640,352,487.5,242.5,123.0,145.0,0.8493621349334717,Accident,0,d58bb8ff-6e55-490e-aa65-da6cae72342b
50,2.0,467652a7-7777-44f3-b321-ab32daecf996,0.09355286200297996,640,352,162.0,197.5,80.0,49.0,0.8369043469429016,Accident,0,1cc85d04-9e0e-4505-ae87-5c93eb80969c
55,2.2,467652a7-7777-44f3-b321-ab32daecf996,0.09355884400429204,640,352,92.0,196.0,80.0,44.0,0.8292353749275208,Accident,0,47b8a7f5-3ed1-4c61-a91e-f31d5aeb5c64
55,2.2,467652a7-7777-44f3-b321-ab32daecf996,0.09355884400429204,640,352,476.0,270.5,150.0,163.0,0.8046449422836304,Accident,0,7fc2f17c-29e4-4d7d-9db0-18648e70a517
60,2.4,a9c536fe-1c20-401c-b822-f8b76704f355,0.09199071800685488,640,352,460.0,281.5,180.0,141.0,0.9183908700942993,Accident,0,789d2f9d-e0ae-4ccd-b3a7-049ffd65b8eb
60,2.4,a9c536fe-1c20-401c-b822-f8b76704f355,0.09199071800685488,640,352,43.0,203.0,68.0,44.0,0.8167871832847595,Accident,0,1ba06b4a-d1d5-485e-b107-0091a51ab571
65,2.6,a9c536fe-1c20-401c-b822-f8b76704f355,0.09203692298615351,640,352,444.5,287.5,205.0,129.0,0.9362621307373047,Accident,0,2e162dfe-cf28-4466-b155-248b36e4e172
65,2.6,a9c536fe-1c20-401c-b822-f8b76704f355,0.09203692298615351,640,352,13.0,211.0,26.0,58.0,0.414034903049469,Accident,0,b536b7ce-1cf6-4127-8906-229062499ca0
70,2.8,a9c536fe-1c20-401c-b822-f8b76704f355,0.09204819099977612,640,352,437.0,294.0,222.0,116.0,0.9211480617523193,Accident,0,67d20d05-4ef0-4b89-bae2-f0e4d1409ff8
70,2.8,a9c536fe-1c20-401c-b822-f8b76704f355,0.09204819099977612,640,352,623.0,183.5,34.0,69.0,0.5148326754570007,Accident,0,4886fbe8-0e63-4485-b7de-7419fdf6a5d8
75,3.0,a9c536fe-1c20-401c-b822-f8b76704f355,0.09205875100451522,640,352,622.5,182.5,35.0,73.0,0.5519241094589233,Accident,0,c58d7e9b-6d50-404e-94a8-146bdd949cef
80,3.2,7857108d-c101-45ef-9720-82a6710ad5d5,0.031150687020272017,640,352,622.5,182.5,35.0,73.0,0.5860927104949951,Accident,0,f2b1a2ba-595f-4868-b525-18f08441c846
